FAMÍLIA;NOME CIENTÍFICO;NOME POPULAR
Fabaceae   Cercideae;Bauhinia longifolia ;Pata-de-vaca-do-campo
Fabaceae  Caesalpinioideae;Caesalpinia echinata ;Pau-brasil
Fabaceae  Caesalpinioideae;Cassia ferruginea ;Cassia-fístula
Fabaceae  Caesalpinioideae;Cassia fistula ;Cassia-imperial
Fabaceae  Caesalpinioideae;Cassia grandis ;Cassia-rósea
Fabaceae  Caesalpinioideae;Cassia leptophylla ;Cassia-barbatimão
Fabaceae  Caesalpinioideae;Copaifera langsdorffii ;Copaíba
Fabaceae  Caesalpinioideae;Delonix regia ;Flamboiam
Fabaceae  Caesalpinioideae;Hymenaea courbaril ;Jatoba
Fabaceae  Caesalpinioideae;Libidibia ferrea ;Pau-ferro
Fabaceae  Caesalpinioideae;Peltophorum dubium ;Canafistula
Fabaceae  Caesalpinioideae;Pterogyne nitens ;Amendoim-bravo
Fabaceae  Caesalpinioideae;Schizolobium parahyba ;Guapuruvu
Fabaceae  Caesalpinioideae;Sclerolobium denutatum ;Passuaré
Fabaceae  Caesalpinioideae;Senna bicapsularis ;Piteira
Fabaceae  Caesalpinioideae;Senna macranthera ;Manduirana
Fabaceae  Caesalpinioideae;Senna multijuga ;Pau-cigarra
Fabaceae  Caesalpinioideae;Senna pendula ;Canudo-de-Pito
Fabaceae  Caesalpinioideae;Senna spectabilis ;Cassia-carnaval
Fabaceae  Faboideae;Centrolobium tomentosum ;Arariba-vermelho
Fabaceae  Faboideae;Cyclolobium vecchii ;Louveira
Fabaceae  Faboideae;Erythrina crista-galli ;Corticeira-do-banhado
Fabaceae  Faboideae;Erythrina speciosa ;Eritrina-mulungu
Fabaceae  Faboideae;Erythrina velutina ;Mulungu
Fabaceae  Faboideae;Holocalyx balansae ;Alecrim-de-campinas
Fabaceae  Faboideae;Lonchocarpus campestris ;Embirinha
Fabaceae  Faboideae;Lonchocarpus cultratus ;Feijão cru
Fabaceae  Faboideae;Lonchocarpus muehlbergianus ;Embira-de-sapo
Fabaceae  Faboideae;Lonchocarpus subglaucescens ;Timbó
Fabaceae  Faboideae;Machaerium aculeatum ;Jacarandá-bico-de-pato
Fabaceae  Faboideae;Machaerium nyctitans ;Bico-de-pato
Fabaceae  Faboideae;Machaerium paraguaiense ;Cateretê
Fabaceae  Faboideae;Machaerium stiptatum ;Sapuva
Fabaceae  Faboideae;Machaerium vestitum ;Jacarandá-branco
Fabaceae  Faboideae;Machaerium villosum ;Jacarandá-paulista
Fabaceae  Faboideae;Myrocarpus fastigiatus ;Cabureiba
Fabaceae  Faboideae;Myroxylon peruiferum ;Cabreuva-vermelha
